dog,trt,time,atp
1,1,1,74.56
1,1,2,84.25
1,1,3,84.05
1,1,4,78.41
1,1,5,79.93
1,1,6,71.6
1,1,7,69.9
1,1,8,63.52
1,1,9,57.14
2,1,1,72.77
2,1,2,86.93
2,1,3,61.47
2,1,4,88.08
2,1,5,64.15
2,1,6,63.27
2,1,7,57.89
2,1,8,53.02
2,1,9,26.47
3,1,1,66.67
3,1,2,77.57
3,1,3,73.12
3,1,4,47.5
3,1,5,77.69
3,1,6,64.38
3,1,7,48.06
3,1,8,49.52
3,1,9,52.18
4,1,1,80.72
4,1,2,71.99
4,1,3,77.32
4,1,4,87.01
4,1,5,73.25
4,1,6,74.84
4,1,7,75.95
4,1,8,51.44
4,1,9,51.36
5,1,1,82.46
5,1,2,83.16
5,1,3,76.45
5,1,4,79.3
5,1,5,81.38
5,1,6,70.66
5,1,7,59.37
5,1,8,42.16
5,1,9,43.99
6,1,1,60.54
6,1,2,71.94
6,1,3,77.5
6,1,4,76.28
6,1,5,57.84
6,1,6,41.54
6,1,7,36.06
6,1,8,30.77
6,1,9,29.46
12,2,1,82.98
12,2,2,76.48
12,2,3,77.86
12,2,4,66.26
12,2,5,77.31
12,2,6,79.1
12,2,7,68.05
12,2,8,49.03
12,2,9,58.91
13,2,1,81.62
13,2,2,79.81
13,2,3,74.95
13,2,4,77.4
13,2,5,70.38
13,2,6,77.35
13,2,7,74.8
13,2,8,62.88
13,2,9,62.4
14,2,1,82.95
14,2,2,70.79
14,2,3,69.16
14,2,4,74.36
14,2,5,74.63
14,2,6,65.44
14,2,7,61.04
14,2,8,77.1
14,2,9,60.17
15,2,1,85.51
15,2,2,81.3
15,2,3,77.19
15,2,4,70.59
15,2,5,76.01
15,2,6,56.26
15,2,7,65.58
15,2,8,56.38
15,2,9,58.29
16,2,1,85.88
16,2,2,80.8
16,2,3,76.01
16,2,4,80.63
16,2,5,70.94
16,2,6,60
16,2,7,71.68
16,2,8,54.66
16,2,9,52.22
17,2,1,87.34
17,2,2,80.99
17,2,3,75.78
17,2,4,82.16
17,2,5,71.5
17,2,6,67.62
17,2,7,72.36
17,2,8,66.9
17,2,9,48.96
